Rank,Athlete,Distance,Runs,Longest,Avg. Pace,Elev. Gain,timestamp,location,Activities,Time,time_hold,dist_LA,dist_float,avg_pace_float,avg_pace_km_min,time_spent,National Rank,Location Rank,elevation_gain
12,Ayesha B.,26.6 km,5.0,9.6 km,6:55 /km,91 m,2022-11-13 16:18:13.638756,"Dallas, TX",,,,,26.6,"['6', '55']",6.916666666666667,183.98333333333335,32,12,91.0
2,shajee’ah 🐿.,26.3 km,,,8:3 /km,134 m,2022-11-13 16:18:13.638756,"Los Angeles, CA",6.0,3h 32m,212.0,26.3,26.3,"['8', '3']",8.05,211.71500000000003,33,2,134.0
13,Tehreem S.,26.0 km,3.0,16.1 km,7:50 /km,67 m,2022-11-13 16:18:13.638756,"Dallas, TX",,,,,26.0,"['7', '50']",7.833333333333333,203.66666666666666,34,13,67.0
14,Mohammed Mustafa S.,25.0 km,5.0,21.4 km,8:36 /km,42 m,2022-11-13 16:18:13.638756,"Dallas, TX",,,,,25.0,"['8', '36']",8.6,215.0,35,14,42.0
7,ayat y.,24.6 km,4.0,7.1 km,6:10 /km,187 m,2022-11-13 16:18:13.638756,"New York, NY",,,,,24.6,"['6', '10']",6.166666666666667,151.70000000000002,36,7,187.0
3,Sanaa O.,24.1 km,,,6:13 /km,306 m,2022-11-13 16:18:13.638756,"Los Angeles, CA",5.0,2h 30m,150.0,24.1,24.1,"['6', '13']",6.216666666666667,149.8216666666667,37,3,306.0
15,Farwa L.,23.9 km,2.0,21.3 km,8:18 /km,71 m,2022-11-13 16:18:13.638756,"Dallas, TX",,,,,23.9,"['8', '18']",8.3,198.37,38,15,71.0
4,Ayesha H.,23.6 km,,,9:4 /km,376 m,2022-11-13 16:18:13.638756,"Los Angeles, CA",4.0,3h 34m,214.0,23.6,23.6,"['9', '4']",9.066666666666666,213.97333333333333,39,4,376.0
1,Muneeb K.,23.3 km,4.0,7.9 km,5:54 /km,398 m,2022-11-13 16:18:13.638756,"Seattle, WA",,,,,23.3,"['5', '54']",5.9,137.47,40,1,398.0
8,Ala J.,22.0 km,5.0,10.0 km,8:31 /km,88 m,2022-11-13 16:18:13.638756,"New York, NY",,,,,22.0,"['8', '31']",8.516666666666667,187.36666666666667,41,8,88.0
7,Yousef S.,21.8 km,3.0,8.0 km,5:13 /km,28 m,2022-11-13 16:18:13.638756,"Chicago, IL",,,,,21.8,"['5', '13']",5.216666666666667,113.72333333333334,42,7,28.0
16,Abdul Rahman N.,21.7 km,1.0,21.7 km,5:51 /km,53 m,2022-11-13 16:18:13.638756,"Dallas, TX",,,,,21.7,"['5', '51']",5.85,126.945,43,16,53.0
4,Merri M.,21.4 km,1.0,21.4 km,7:57 /km,--,2022-11-13 16:18:13.638756,"San Francisco, CA",,,,,21.4,"['7', '57']",7.95,170.13,44,4,0.0
1,Nadah F.,21.2 km,3.0,9.6 km,6:04 /km,6 m,2022-11-13 16:18:13.638756,"San Diego, CA",,,,,21.2,"['6', '04']",6.066666666666666,128.61333333333332,45,1,6.0
