Rank,Athlete,Distance,Runs,Longest,Avg. Pace,Elev. Gain,timestamp,location,Activities,Time,time_hold,dist_LA,dist_float,avg_pace_float,avg_pace_km_min,time_spent,National Rank,Location Rank,elevation_gain
14,Ahmed A.,5.3 km,1.0,5.3 km,5:35 /km,22 m,2022-11-13 16:18:13.638756,"Chicago, IL",,,,,5.3,"['5', '35']",5.583333333333333,29.591666666666665,132,14,22.0
26,Alveera K.,5.2 km,1.0,5.2 km,6:52 /km,8 m,2022-11-13 16:18:13.638756,"San Francisco, CA",,,,,5.2,"['6', '52']",6.866666666666666,35.70666666666666,133,26,8.0
27,Akylbek M.,5.2 km,1.0,5.2 km,5:43 /km,--,2022-11-13 16:18:13.638756,"San Francisco, CA",,,,,5.2,"['5', '43']",5.716666666666667,29.726666666666667,134,27,0.0
16,amad s.,5.2 km,,,6:9 /km,--,2022-11-13 16:18:13.638756,"Los Angeles, CA",1.0,32m,32.0,5.2,5.2,"['6', '9']",6.15,31.980000000000004,135,16,0.0
23,Sahara F.,5.2 km,1.0,5.2 km,5:21 /km,2 m,2022-11-13 16:18:13.638756,"New York, NY",,,,,5.2,"['5', '21']",5.35,27.82,136,23,2.0
35,Akylbek M.,5.2 km,1.0,5.2 km,5:43 /km,--,2022-11-13 16:18:13.638756,"Dallas, TX",,,,,5.2,"['5', '43']",5.716666666666667,29.726666666666667,137,35,0.0
17,Zeshan A.,5.2 km,,,5:57 /km,17 m,2022-11-13 16:18:13.638756,"Los Angeles, CA",1.0,31m,31.0,5.2,5.2,"['5', '57']",5.95,30.94,138,17,17.0
36,Shahzad A.,5.0 km,1.0,5.0 km,8:27 /km,34 m,2022-11-13 16:18:13.638756,"Dallas, TX",,,,,5.0,"['8', '27']",8.45,42.25,139,36,34.0
24,Adeel C.,5.0 km,1.0,5.0 km,5:32 /km,2 m,2022-11-13 16:18:13.638756,"New York, NY",,,,,5.0,"['5', '32']",5.533333333333333,27.666666666666664,140,24,2.0
4,Sarah K.,5.0 km,1.0,5.0 km,6:39 /km,--,2022-11-13 16:18:13.638756,"San Diego, CA",,,,,5.0,"['6', '39']",6.65,33.25,141,4,0.0
29,Omar S.,4.8 km,1.0,4.8 km,6:09 /km,--,2022-11-13 16:18:13.638756,"San Francisco, CA",,,,,4.8,"['6', '09']",6.15,29.52,142,29,0.0
25,Ahad A.,4.8 km,1.0,4.8 km,5:46 /km,20 m,2022-11-13 16:18:13.638756,"New York, NY",,,,,4.8,"['5', '46']",5.766666666666667,27.68,143,25,20.0
26,Nada S.,4.8 km,1.0,4.8 km,8:12 /km,54 m,2022-11-13 16:18:13.638756,"New York, NY",,,,,4.8,"['8', '12']",8.2,39.35999999999999,144,26,54.0
28,Samaan I.,4.8 km,1.0,4.8 km,6:38 /km,--,2022-11-13 16:18:13.638756,"San Francisco, CA",,,,,4.8,"['6', '38']",6.633333333333334,31.84,145,28,0.0
37,Syed R.,4.8 km,1.0,4.8 km,5:19 /km,28 m,2022-11-13 16:18:13.638756,"Dallas, TX",,,,,4.8,"['5', '19']",5.316666666666666,25.52,146,37,28.0
38,Ayah A.,4.8 km,1.0,4.8 km,7:06 /km,--,2022-11-13 16:18:13.638756,"Dallas, TX",,,,,4.8,"['7', '06']",7.1,34.08,147,38,0.0
27,Tariq U.,4.7 km,1.0,4.7 km,5:45 /km,2 m,2022-11-13 16:18:13.638756,"New York, NY",,,,,4.7,"['5', '45']",5.75,27.025000000000002,148,27,2.0
30,Khizer S.,4.7 km,1.0,4.7 km,6:30 /km,2 m,2022-11-13 16:18:13.638756,"San Francisco, CA",,,,,4.7,"['6', '30']",6.5,30.55,149,30,2.0
18,𝘈𝘢𝘮𝘪𝘯𝘢𝘩 𝘒.,4.5 km,,,15:33 /km,60 m,2022-11-13 16:18:13.638756,"Los Angeles, CA",2.0,1h 10m,70.0,4.5,4.5,"['15', '33']",15.55,69.97500000000001,150,18,60.0
15,Ibrahim R.,4.5 km,2.0,2.4 km,6:12 /km,11 m,2022-11-13 16:18:13.638756,"Chicago, IL",,,,,4.5,"['6', '12']",6.2,27.900000000000002,151,15,11.0
16,Ikhlaas K.,4.3 km,1.0,4.3 km,6:46 /km,3 m,2022-11-13 16:18:13.638756,"Chicago, IL",,,,,4.3,"['6', '46']",6.766666666666667,29.096666666666664,152,16,3.0
39,Sadia N.,4.2 km,3.0,1.9 km,8:35 /km,--,2022-11-13 16:18:13.638756,"Dallas, TX",,,,,4.2,"['8', '35']",8.583333333333334,36.050000000000004,153,39,0.0
5,Shabnam H.,4.0 km,1.0,4.0 km,9:26 /km,--,2022-11-13 16:18:13.638756,"San Diego, CA",,,,,4.0,"['9', '26']",9.433333333333334,37.733333333333334,154,5,0.0
31,Shahryar M.,4.0 km,1.0,4.0 km,6:53 /km,--,2022-11-13 16:18:13.638756,"San Francisco, CA",,,,,4.0,"['6', '53']",6.883333333333334,27.533333333333335,155,31,0.0
19,Shabnam H.,4.0 km,,,9:15 /km,--,2022-11-13 16:18:13.638756,"Los Angeles, CA",1.0,37m,37.0,4.0,4.0,"['9', '15']",9.25,37.0,156,19,0.0
28,Yash S.,4.0 km,1.0,4.0 km,7:25 /km,16 m,2022-11-13 16:18:13.638756,"New York, NY",,,,,4.0,"['7', '25']",7.416666666666667,29.666666666666668,157,28,16.0
29,Mariam B.,3.7 km,1.0,3.7 km,7:55 /km,--,2022-11-13 16:18:13.638756,"New York, NY",,,,,3.7,"['7', '55']",7.916666666666667,29.291666666666668,158,29,0.0
17,Deena K.,3.6 km,1.0,3.6 km,8:10 /km,3 m,2022-11-13 16:18:13.638756,"Chicago, IL",,,,,3.6,"['8', '10']",8.166666666666666,29.4,159,17,3.0
33,Uulkan M.,3.5 km,1.0,3.5 km,6:19 /km,26 m,2022-11-13 16:18:13.638756,"San Francisco, CA",,,,,3.5,"['6', '19']",6.316666666666666,22.108333333333334,160,33,26.0
32,Ebrahim A.,3.5 km,1.0,3.5 km,7:48 /km,--,2022-11-13 16:18:13.638756,"San Francisco, CA",,,,,3.5,"['7', '48']",7.8,27.3,161,32,0.0
40,Rosni U.,3.4 km,1.0,3.4 km,9:53 /km,12 m,2022-11-13 16:18:13.638756,"Dallas, TX",,,,,3.4,"['9', '53']",9.883333333333333,33.60333333333333,162,40,12.0
20,Saarah K.,3.2 km,,,7:30 /km,--,2022-11-13 16:18:13.638756,"Los Angeles, CA",1.0,24m,24.0,3.2,3.2,"['7', '30']",7.5,24.0,163,20,0.0
41,Keerun M.,3.2 km,1.0,3.2 km,7:28 /km,31 m,2022-11-13 16:18:13.638756,"Dallas, TX",,,,,3.2,"['7', '28']",7.466666666666667,23.893333333333334,164,41,31.0
30,Zuhair K.,3.0 km,1.0,3.0 km,6:18 /km,22 m,2022-11-13 16:18:13.638756,"New York, NY",,,,,3.0,"['6', '18']",6.3,18.9,165,30,22.0
31,Sarah F.,2.9 km,1.0,2.9 km,7:47 /km,--,2022-11-13 16:18:13.638756,"New York, NY",,,,,2.9,"['7', '47']",7.783333333333333,22.571666666666665,166,31,0.0
18,Farah R.,2.7 km,1.0,2.7 km,7:40 /km,4 m,2022-11-13 16:18:13.638756,"Chicago, IL",,,,,2.7,"['7', '40']",7.666666666666667,20.700000000000003,167,18,4.0
42,Alp S.,2.6 km,1.0,2.6 km,6:24 /km,212 m,2022-11-13 16:18:13.638756,"Dallas, TX",,,,,2.6,"['6', '24']",6.4,16.64,168,42,212.0
34,Needa Mirza L.,2.4 km,1.0,2.4 km,7:03 /km,42 m,2022-11-13 16:18:13.638756,"San Francisco, CA",,,,,2.4,"['7', '03']",7.05,16.919999999999998,169,34,42.0
7,Sarah A.,2.3 km,1.0,2.3 km,6:39 /km,2 m,2022-11-13 16:18:13.638756,"Detroit, MI",,,,,2.3,"['6', '39']",6.65,15.295,170,7,2.0
35,Sammy M.,2.3 km,1.0,2.3 km,5:03 /km,30 m,2022-11-13 16:18:13.638756,"San Francisco, CA",,,,,2.3,"['5', '03']",5.05,11.614999999999998,171,35,30.0
43,Yushra R.,1.9 km,1.0,1.9 km,6:44 /km,--,2022-11-13 16:18:13.638756,"Dallas, TX",,,,,1.9,"['6', '44']",6.733333333333333,12.793333333333333,172,43,0.0
32,Shafat U.,1.6 km,1.0,1.6 km,4:32 /km,--,2022-11-13 16:18:13.638756,"New York, NY",,,,,1.6,"['4', '32']",4.533333333333333,7.253333333333334,173,32,0.0
33,Mohammed S.,1.6 km,1.0,1.6 km,6:23 /km,--,2022-11-13 16:18:13.638756,"New York, NY",,,,,1.6,"['6', '23']",6.383333333333334,10.213333333333335,174,33,0.0
36,nadaa m.,0.7 km,1.0,0.7 km,2:11 /km,1 m,2022-11-13 16:18:13.638756,"San Francisco, CA",,,,,0.7,"['2', '11']",2.183333333333333,1.528333333333333,175,36,1.0
